epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6995.15,1.31786,0.81768,1.02542,0.68427,0.72481,0.68083,0.46799,1.24396,1.07706,0.97752,0.00452975,0.00452975,0.00452975
78,7087.5,1.28848,0.76569,0.98009,0.7187,0.79802,0.74195,0.50035,1.12525,0.72424,0.92982,0.00452356,0.00452356,0.00452356
79,7177.7,1.32472,0.86189,1.01909,0.69525,0.80332,0.70849,0.47948,1.10523,0.6796,0.92966,0.00451737,0.00451737,0.00451737
80,7266.21,1.28458,0.89249,1.0418,0.77654,0.76011,0.78506,0.53706,1.17592,0.68364,0.94507,0.00451119,0.00451119,0.00451119
81,7356.45,1.27625,1.01506,1.08168,0.7608,0.7836,0.79758,0.54658,1.10844,0.65922,0.93247,0.004505,0.004505,0.004505
82,7445.94,1.26262,0.74075,0.99174,0.76672,0.71689,0.80519,0.5425,1.13468,0.69832,0.93895,0.00449881,0.00449881,0.00449881
83,7536.07,1.26859,0.79725,0.97644,0.74586,0.83299,0.80817,0.54792,1.12843,0.67323,0.92914,0.00449263,0.00449263,0.00449263
84,7625.77,1.23421,0.80461,0.99615,0.81398,0.69551,0.78562,0.5524,1.11618,0.68789,0.93168,0.00448644,0.00448644,0.00448644
85,7715.52,1.23843,0.7796,0.98358,0.67396,0.76282,0.74914,0.51404,1.17251,0.77945,0.94541,0.00448025,0.00448025,0.00448025
86,7806.59,1.24928,0.73484,0.97479,0.61134,0.76838,0.75107,0.50442,1.14577,0.72037,0.93986,0.00447406,0.00447406,0.00447406
87,7896.53,1.2149,0.71868,0.97943,0.71978,0.68039,0.76896,0.50862,1.12391,0.70938,0.92915,0.00446788,0.00446788,0.00446788
88,7987.29,1.21921,0.76921,0.98277,0.81226,0.68514,0.78242,0.54062,1.14529,0.71236,0.93668,0.00446169,0.00446169,0.00446169
89,8076.09,1.24475,0.93189,1,0.68797,0.7706,0.7767,0.53491,1.11389,0.69468,0.92047,0.0044555,0.0044555,0.0044555
90,8166.67,1.21879,0.78557,0.98057,0.66517,0.82793,0.78076,0.52,1.10471,0.69952,0.92614,0.00444931,0.00444931,0.00444931
91,8256.61,1.21532,0.71661,0.98168,0.64517,0.79286,0.78446,0.49433,1.18448,0.78364,0.93815,0.00444313,0.00444313,0.00444313
92,8347.98,1.23987,0.74932,0.9691,0.70192,0.7427,0.78126,0.5323,1.10807,0.71091,0.91851,0.00443694,0.00443694,0.00443694
93,8437.46,1.25824,0.87654,0.9985,0.6947,0.8182,0.78204,0.54013,1.0765,0.70195,0.90797,0.00443075,0.00443075,0.00443075
94,8528.19,1.2022,0.70037,0.97571,0.87794,0.67476,0.80617,0.54431,1.12255,0.7097,0.926,0.00442456,0.00442456,0.00442456
95,8617.74,1.20031,0.75572,0.97546,0.83349,0.82197,0.806,0.57048,1.07863,0.67007,0.90971,0.00441838,0.00441838,0.00441838
96,8708.57,1.24507,0.73024,0.97174,0.73707,0.75781,0.77751,0.55533,1.06643,0.66213,0.90417,0.00441219,0.00441219,0.00441219
97,8797.17,1.21394,0.74139,0.98881,0.71195,0.77798,0.78576,0.54631,1.11315,0.68051,0.91806,0.004406,0.004406,0.004406
98,8888.33,1.19176,0.73474,0.96556,0.69086,0.8159,0.74551,0.50974,1.09563,0.7051,0.9173,0.00439981,0.00439981,0.00439981
99,8978.59,1.21603,0.71107,0.96253,0.80979,0.69833,0.74686,0.51994,1.06953,0.67413,0.90735,0.00439362,0.00439362,0.00439362
100,9070.05,1.22051,0.70719,0.96058,0.69028,0.76655,0.73746,0.50075,1.08829,0.66041,0.91963,0.00438744,0.00438744,0.00438744
101,9163.28,1.246,1.21772,1.01607,0.87165,0.74963,0.80108,0.56128,1.12839,0.65968,0.92503,0.00438125,0.00438125,0.00438125
102,9253.57,1.2345,0.80473,1.02123,0.76132,0.70849,0.73766,0.51559,1.09402,0.67869,0.91912,0.00437506,0.00437506,0.00437506
103,9343.4,1.20551,0.78074,0.98227,0.77285,0.76163,0.77773,0.51991,1.1512,0.69389,0.92139,0.00436888,0.00436888,0.00436888
104,9433.16,1.22952,0.73505,0.96552,0.80878,0.62593,0.69491,0.47035,1.24562,0.78353,0.94951,0.00436269,0.00436269,0.00436269
105,9523.67,1.26757,0.84696,0.99529,0.79134,0.52332,0.55369,0.35878,1.28022,0.81968,0.97161,0.0043565,0.0043565,0.0043565
106,9613.17,1.20674,0.72793,0.98264,0.76606,0.78265,0.78886,0.52338,1.17112,0.68241,0.92589,0.00435031,0.00435031,0.00435031
107,9703.8,1.19947,0.86857,1.01286,0.7779,0.82246,0.82749,0.57087,1.13689,0.72029,0.92794,0.00434412,0.00434412,0.00434412
108,9793.58,1.17895,0.71492,0.97154,0.72757,0.82334,0.82356,0.55378,1.12593,0.70845,0.9299,0.00433794,0.00433794,0.00433794
109,9884.49,1.21028,0.73186,0.96311,0.69319,0.79444,0.80836,0.52215,1.1078,0.71933,0.92965,0.00433175,0.00433175,0.00433175
110,9974.54,1.19666,0.72408,0.96982,0.80026,0.73881,0.79623,0.55734,1.1125,0.67686,0.93084,0.00432556,0.00432556,0.00432556
111,10064,1.20877,0.7087,0.95974,0.85549,0.6929,0.80432,0.55845,1.10755,0.66826,0.92714,0.00431938,0.00431938,0.00431938
112,10154,1.21945,0.89079,1.04338,0.82356,0.78124,0.80215,0.5612,1.05724,0.6536,0.91843,0.00431319,0.00431319,0.00431319
113,10244.7,1.20616,0.67772,0.96307,0.86529,0.75023,0.80189,0.54944,1.1242,0.64941,0.92459,0.004307,0.004307,0.004307
114,10333.2,1.20715,0.71821,0.97049,0.71402,0.73328,0.75245,0.52908,1.0789,0.73807,0.91487,0.00430081,0.00430081,0.00430081
115,10422.8,1.20905,0.75021,0.9831,0.82032,0.73802,0.80886,0.58228,1.07939,0.6641,0.92219,0.00429463,0.00429463,0.00429463
116,10511.5,1.21912,0.77565,0.97914,0.81966,0.78261,0.81395,0.57897,1.08476,0.66136,0.92366,0.00428844,0.00428844,0.00428844
117,10602.1,1.18146,0.69972,0.97476,0.83646,0.75274,0.79618,0.54175,1.12884,0.76052,0.93772,0.00428225,0.00428225,0.00428225
118,10691.5,1.23258,0.70014,0.9742,0.79384,0.78983,0.79158,0.54097,1.11776,0.74216,0.92857,0.00427606,0.00427606,0.00427606
119,10780.3,1.21216,0.72483,0.98868,0.78911,0.79894,0.79512,0.5503,1.07386,0.64636,0.9175,0.00426988,0.00426988,0.00426988
